1 38.22 35.49 76.44 122.85 40 DarkBrown Education Other No Slim Yes Sagittarius No Single  
2 144.69 60.06 32.76 38.22 19 Auburn Student Hazel Yes Cuddly Yes Aquarius No Single UnitedStates 
3 95.55 73.71 46.41 57.33 21 EverChanging Student Brown No Slim No Aquarius No InArelationship UnitedStates 
4 136.5 81.9 19.11 35.49 40 Blonde Marketing DarkBlue No Slim Yes Leo Yes Divorced UnitedStates 
5 10.92 10.92 54.6 196.56 18 Brown Nonprofit Green No Slim No Pisces No Single UnitedStates 
6 8.19 21.84 98.28 141.96 25 DarkBrown Engineering DarkBrown No Athletic Yes Virgo No Single UnitedStates 
7 150.15 40.95 5.46 76.44 18 Brown Design Hazel No Average No Taurus No Single UnitedStates 
8 101.01 54.6 54.6 62.79 19 DarkBrown Restaurant Hazel No Slim No Pisces No InArelationship UnitedStates 
9 35.49 40.95 122.85 73.71 19 Blonde PerformingArts Green No Slim No Virgo No Single UnitedStates 
10 43.68 54.6 92.82 79.17 21 DarkBlonde Fashion Brown No Slim No Gemini No Single UnitedStates 
11 57.33 35.49 79.17 103.74 22 Black Law Brown No Slim Yes Pisces No Single UnitedStates 
12 16.38 40.95 103.74 109.2 26 DarkBrown Student DarkBrown No Slim No Taurus No Single UnitedStates 
13 32.76 54.6 95.55 87.36 20 Black Artist DarkBrown No Average No Taurus No Single UnitedStates 
14 109.2 95.55 13.65 57.33 18 DarkBrown Nonprofit DarkBrown No Cuddly No Aquarius No Single UnitedStates 
15 60.06 38.22 81.9 92.82 23 DarkBrown PerformingArts Brown Yes Average No Gemini No Single UnitedStates 
16 51.87 70.98 101.01 49.14 44 Blonde PerformingArts Blue Sometimes Toned Yes Scorpio No Single UnitedStates 
17 19.11 10.92 90.09 152.88 21 DarkBrown Fashion Blue No Toned Yes Libra Yes Single UnitedStates 
18 84.63 90.09 43.68 51.87 18 DarkBrown Nonprofit DarkBrown No Cuddly Yes Aquarius No Single UnitedStates 
19 98.28 101.01 27.3 49.14 32 Black Teacher Brown No Average No Leo No Single UnitedStates 
20 128.31 65.52 35.49 40.95 38 DarkBrown Administration Brown No Toned Yes Gemini Yes Single UnitedStates 
21 10.92 5.46 73.71 182.91 24 Auburn Teacher Blue No Slim Yes Aries No Single UnitedStates 
22 43.68 81.9 92.82 57.33 26 DarkBlonde Medicine Blue No Athletic Yes Aries No Single UnitedStates 
